"noaa","name","year","origin","destination","count"
"GHCND:USC00020586","BAGDAD, AZ","1987","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1988","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1989","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1990","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1991","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1992","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1993","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1994","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1995","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1996","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1997","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1998","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","1999","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2000","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2001","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2002","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2003","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2004","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2005","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2006","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020586","BAGDAD, AZ","2007","GHCND:USC00020586","GHCND:USC00020586","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1955","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1956","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1957","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1958","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1959","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1960","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1961","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1962","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1963","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1964","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1965","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1966","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1967","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1968","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1969","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1970","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1971","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1972","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1973","GHCND:USC00020632","GHCND:USC00020632","1"
"GHCND:USC00020632","BARTLETT DAM, AZ","1974","GHCND:USC00020632","GHCND:USC00020632","1"
